,PC (방1)
109044,3.517
109056,3.6670000000000003
109068,3.987
109080,3.9460000000000006
109092,3.665
109104,3.771
109116,3.7849999999999997
109128,3.532
109140,3.8200000000000003
109152,3.8499999999999996
109164,3.763
109176,3.701
109188,3.5910000000000006
109200,3.7010000000000005
109212,3.809
109224,3.5960000000000005
109236,3.6320000000000006
109248,3.5679999999999996
109260,3.7439999999999998
109272,3.4899999999999998
109284,3.7299999999999995
109296,3.4660000000000006
109308,3.48
109320,3.6470000000000002
