,TV (거실)
0,100.59299999999999
288,202.024
576,300.37
864,401.451
1152,500.774
1440,601.594
1728,702.778
2016,804.742
2304,905.8689999999999
2592,1005.8399999999999
2880,1106.3319999999999
3168,1205.0559999999998
3456,1305.3369999999998
3744,1405.149
4032,1503.514
4320,1604.0439999999999
4608,1701.456
4896,1799.6299999999999
5184,1900.187
5472,1999.4879999999998
5760,2100.7349999999997
6048,2199.2499999999995
6336,2296.3839999999996
6624,2395.397
6912,2495.036
7200,2592.3720000000003
7488,2691.2360000000003
7776,2792.137
8064,2892.005
8352,2991.246
