,TV2 (방1)
0,4604.856000000001
288,8284.938000000002
576,12597.735000000002
864,14685.969000000003
1152,18798.323000000004
1440,26714.040000000005
1728,33284.971000000005
2016,37724.512
2304,43854.277
2592,47070.236000000004
2880,48595.756
3168,53522.956
3456,53611.59
3744,56261.706999999995
4032,59204.407999999996
4320,62240.746
4608,67161.437
4896,69429.99100000001
5184,74397.69600000001
5472,76033.57200000001
5760,81691.95100000002
6048,87248.82300000002
6336,92111.68600000002
6624,98414.841
6912,102417.156
7200,109605.993
7488,116293.436
7776,122326.821
8064,129780.496
8352,135435.701
