,PC (방1),TV (거실),TV2 (방1),TV3 (방2),노트북 (방3),선풍기 (방1),선풍기1 (방1),세탁기 (발코니2),에어컨 (거실),에어컨 (방1),전기밥솥 (주방),전자레인지 (주방)
96480,90.192,93.39800000000001,10793.694,88.886,2037.026,3355.228,85.625,302.014,97.25,96.792,94.264,3325.303
96768,180.73899999999998,187.745,13495.848999999998,177.75199999999998,4044.3210000000004,5941.979,382.95000000000005,606.059,195.623,193.544,189.47699999999998,4795.494
97056,270.991,281.567,21006.333,266.587,6316.150000000001,9123.505000000001,667.225,2896.3450000000003,293.106,288.654,283.514,6263.313
97344,361.998,374.665,27383.447,355.469,8941.831,12111.742000000002,752.215,3256.9840000000004,390.663,382.699,379.11800000000005,7732.318
97632,453.116,468.19300000000004,30386.892,444.954,10954.089,15151.340000000002,1044.31,3617.9040000000005,487.404,477.469,473.29200000000003,9199.119
97920,543.8149999999999,561.363,37646.38,533.2,13184.856,15348.064000000002,1335.918,3975.9490000000005,584.874,573.7139999999999,569.212,10662.354000000001
98208,634.8399999999999,656.056,43186.412,622.476,15708.206,15452.058000000003,1421.6599999999999,5929.504000000001,682.995,669.959,664.082,12963.004
98496,726.014,750.4960000000001,46521.459,711.674,18964.934,15557.014,1703.9360000000001,8064.550000000001,781.03,766.7510000000001,760.56,16094.09
98784,818.02,844.0730000000001,46604.871,800.8689999999999,19559.279000000002,15662.13,1790.5400000000002,8369.959,878.7909999999999,863.5030000000002,856.626,17571.37
99072,909.4549999999999,938.7080000000001,48360.296,889.3539999999999,20183.153000000002,15766.042,1875.6040000000003,10300.914,976.632,958.6130000000002,952.084,19040.076999999997
99360,1000.8689999999999,1032.499,56818.244000000006,978.5769999999999,22193.95,15869.476999999999,2178.0260000000003,10662.625,1074.387,1052.6580000000001,1047.808,21813.938
99648,1091.4289999999999,1125.559,60029.74800000001,1067.7199999999998,24563.09,15973.712,2357.6890000000003,12540.402,1172.307,1147.428,1143.112,23274.377999999997
99936,1183.7589999999998,1221.038,64788.806000000004,1158.4159999999997,27986.248,16078.819,2652.2630000000004,12904.332,1271.443,1243.6730000000002,1240.067,24749.047999999995
100224,1275.2209999999998,1315.275,69054.094,1248.3279999999997,30749.078,16182.909,2738.8930000000005,13265.688,1370.44,1339.9180000000001,1336.09,26220.442999999996
100512,1367.0119999999997,1409.1570000000002,78421.78899999999,1337.9619999999998,32902.343,16286.76,3026.1230000000005,15257.63,1467.159,1436.71,1432.768,27688.292999999994
100800,1457.083,1503.083,84268.71100000001,1426.717,35771.829,16390.250999999997,3306.419,15621.468,1564.042,1533.462,1527.3429999999998,29991.472999999998
101088,1549.7450000000001,1596.633,89285.04800000001,1515.555,38868.106999999996,16493.785999999996,3391.5679999999998,15985.632000000001,1661.9489999999998,1628.5720000000001,1623.3469999999998,32248.857999999997
101376,1640.4730000000002,1689.9,96397.98500000002,1605.1670000000001,41864.170999999995,16597.058999999997,3704.758,16348.617000000002,1758.9899999999998,1722.6170000000002,1719.6599999999999,35613.481
101664,1731.332,1782.6380000000001,98311.23300000002,1693.518,44264.505,16700.525999999998,3994.986,18383.386000000002,1855.5879999999997,1817.3870000000002,1814.0679999999998,37071.938
101952,1823.0130000000001,1876.1580000000001,103539.06700000002,1783.713,47058.72,16934.393999999997,4082.3419999999996,19900.465000000004,1953.8979999999997,1913.632,1910.0619999999997,38542.446
102240,1913.8160000000003,1970.5010000000002,112629.83900000002,1873.418,49112.775,17286.867999999995,4407.3769999999995,21842.690000000002,2052.649,2009.877,2006.4079999999997,40843.490000000005
102528,2005.1370000000002,2063.84,120280.22900000002,1962.301,51366.577000000005,17594.358999999997,4493.008,22203.773,2152.095,2106.669,2101.8789999999995,43132.851
102816,2098.242,2158.257,122514.06500000002,2052.74,54338.107,17698.002999999997,4805.116,22566.845,2250.377,2203.421,2198.2759999999994,45373.376000000004
103104,2190.034,2253.547,127083.188,2141.635,57260.05,17915.621,4890.977000000001,22930.583,2349.65,2298.531,2293.656,47664.482
103392,2281.4880000000003,2347.235,131888.24899999998,2231.0310000000004,59196.646,18018.449,5200.976000000001,24860.954999999998,2446.657,2392.576,2389.0589999999997,49127.044
103680,2371.8430000000003,2440.918,136523.95899999997,2320.2930000000006,61588.124,18340.8,5704.002,25165.071999999996,2544.027,2487.346,2484.4399999999996,50588.999
103968,2464.166,2535.322,136609.76299999998,2409.9840000000004,62848.61,18443.417999999998,5791.713000000001,25471.899999999998,2643.355,2583.591,2582.1289999999995,52060.291000000005
104256,2556.1000000000004,2630.525,137539.48299999998,2500.5890000000004,63323.924,18546.654,5878.703,25776.402,2742.134,2679.836,2678.2309999999993,53527.263000000006
104544,2649.1010000000006,2725.455,141766.009,2590.3160000000003,66471.224,18651.228,5965.7660000000005,27261.061999999998,2841.638,2776.6279999999997,2776.642999999999,55699.81300000001
104832,2741.3270000000007,2818.944,153208.60499999998,2681.3370000000004,68688.397,20074.579999999998,6282.273,29028.231999999996,2939.893,2873.3799999999997,2874.447999999999,57980.29800000001
