,노트북 (방3)
0,1826.891
288,4810.842000000001
576,7149.152
864,9709.405999999999
1152,12553.596
1440,15256.213
1728,18383.506
2016,20047.967000000004
2304,22715.146000000004
2592,25847.480000000003
2880,28644.042
3168,31491.749
3456,33432.46
3744,37003.22
4032,39529.252
4320,42913.811
4608,45628.576
4896,48022.82
5184,50889.641
5472,52240.5
5760,54619.354
6048,57112.842
6336,59873.666
6624,62288.996
6912,64225.236
7200,66450.609
7488,68641.12999999999
7776,71666.397
8064,74431.012
8352,76994.38100000001
