,선풍기1 (방1)
96480,85.625
96768,382.95000000000005
97056,667.225
97344,752.215
97632,1044.31
97920,1335.918
98208,1421.6599999999999
98496,1703.9360000000001
98784,1790.5400000000002
99072,1875.6040000000003
99360,2178.0260000000003
99648,2357.6890000000003
99936,2652.2630000000004
100224,2738.8930000000005
100512,3026.1230000000005
100800,3306.419
101088,3391.5679999999998
101376,3704.758
101664,3994.986
101952,4082.3419999999996
102240,4407.3769999999995
102528,4493.008
102816,4805.116
103104,4890.977000000001
103392,5200.976000000001
103680,5704.002
103968,5791.713000000001
104256,5878.703
104544,5965.7660000000005
104832,6282.273
