,에어컨 (거실)
105120,98.554
105408,194.92200000000003
105696,292.10900000000004
105984,389.98300000000006
106272,488.90700000000004
106560,587.7320000000001
106848,684.9620000000001
107136,783.1210000000001
107424,880.6090000000002
107712,977.8840000000001
108000,1074.9930000000002
108288,1173.4260000000002
108576,1272.496
108864,1396.7350000000001
109152,1458.0490000000002
109440,1458.049
109728,1458.049
110016,1458.049
110304,1458.049
110592,1458.049
110880,1458.049
111168,1458.049
111456,1458.049
111744,1458.049
112032,1458.049
112320,1458.049
112608,1458.049
112896,1458.049
113184,1458.049
113472,1458.049
113760,1458.049
