,에어컨 (방1)
105120,95.11000000000001
105408,189.15500000000003
105696,283.925
105984,380.17
106272,476.415
106560,573.207
106848,669.9590000000001
107136,765.069
107424,859.1139999999999
107712,953.8839999999999
108000,1050.129
108288,1146.3739999999998
108576,1243.1659999999997
108864,1339.9179999999997
109152,1399.2079999999996
109440,1399.208
109728,1399.208
110016,1399.208
110304,1399.208
110592,1399.208
110880,1399.208
111168,1399.208
111456,1399.208
111744,1399.208
112032,1399.208
112320,1399.208
112608,1399.208
112896,1399.208
113184,1399.208
113472,1399.208
113760,1399.208
